Pressure 1;Pressure 2;Freq;Date;Time
2.59;2.64;5235.74;04.06.2025;13:51:56
2.64;2.65;5203.44;04.06.2025;13:51:57
2.65;2.65;5250.10;04.06.2025;13:51:58
2.66;2.67;5329.10;04.06.2025;13:51:59
2.72;2.66;5153.84;04.06.2025;13:52:00
2.75;2.70;5200.66;04.06.2025;13:52:01
2.77;2.75;5088.51;04.06.2025;13:52:02
2.80;2.79;5218.90;04.06.2025;13:52:03
2.81;2.82;5246.09;04.06.2025;13:52:04
2.80;2.83;5309.99;04.06.2025;13:52:05
2.87;2.86;5140.73;04.06.2025;13:52:06
2.88;2.88;5066.04;04.06.2025;13:52:07
2.88;2.87;5300.34;04.06.2025;13:52:08
2.94;2.88;5251.49;04.06.2025;13:52:09
2.92;2.93;5210.73;04.06.2025;13:52:10
2.99;2.99;5231.80;04.06.2025;13:52:11
3.00;3.00;5210.70;04.06.2025;13:52:12
3.04;3.02;5218.03;04.06.2025;13:52:13
3.07;3.06;5456.39;04.06.2025;13:52:14
3.07;3.05;5282.48;04.06.2025;13:52:15
3.13;3.07;5228.05;04.06.2025;13:52:16
3.09;3.10;5062.27;04.06.2025;13:52:17
3.14;3.14;5072.61;04.06.2025;13:52:18
3.16;3.17;5179.64;04.06.2025;13:52:19
3.19;3.23;5167.58;04.06.2025;13:52:20
3.23;3.24;5282.63;04.06.2025;13:52:21
3.24;3.24;5459.05;04.06.2025;13:52:22
3.28;3.26;5173.51;04.06.2025;13:52:23
3.31;3.31;5151.97;04.06.2025;13:52:24
3.29;3.31;5403.52;04.06.2025;13:52:25
3.32;3.36;5236.88;04.06.2025;13:52:26
3.35;3.35;5206.66;04.06.2025;13:52:27
3.40;3.41;5188.17;04.06.2025;13:52:28
3.40;3.43;5145.46;04.06.2025;13:52:29
3.47;3.45;5287.54;04.06.2025;13:52:30
3.46;3.50;5224.53;04.06.2025;13:52:31
3.50;3.53;5112.21;04.06.2025;13:52:32
3.53;3.57;5275.99;04.06.2025;13:52:33
3.56;3.56;5200.25;04.06.2025;13:52:34
3.57;3.58;5339.40;04.06.2025;13:52:35
3.62;3.60;5267.61;04.06.2025;13:52:36
3.62;3.58;5030.98;04.06.2025;13:52:37
3.65;3.67;5143.17;04.06.2025;13:52:38
3.69;3.61;5401.44;04.06.2025;13:52:39
3.67;3.67;5288.39;04.06.2025;13:52:40
3.73;3.76;5353.65;04.06.2025;13:52:41
3.76;3.76;5445.95;04.06.2025;13:52:42
3.77;3.77;5271.50;04.06.2025;13:52:43
3.81;3.81;5148.01;04.06.2025;13:52:44
3.83;3.84;5268.89;04.06.2025;13:52:45
3.88;3.80;5232.86;04.06.2025;13:52:46
3.88;3.87;5205.44;04.06.2025;13:52:47
3.88;3.87;5152.42;04.06.2025;13:52:48
3.93;3.90;5392.70;04.06.2025;13:52:49
3.94;3.98;5141.97;04.06.2025;13:52:50
4.00;4.00;5467.80;04.06.2025;13:52:51
4.00;4.02;5191.27;04.06.2025;13:52:52
4.03;4.06;5201.09;04.06.2025;13:52:53
4.08;4.03;5071.06;04.06.2025;13:52:54
4.07;4.11;5429.96;04.06.2025;13:52:55
4.14;4.13;5083.19;04.06.2025;13:52:56
4.13;4.13;5247.88;04.06.2025;13:52:57
4.17;4.13;5096.97;04.06.2025;13:52:58
4.15;4.18;4957.91;04.06.2025;13:52:59
4.20;4.18;5137.53;04.06.2025;13:53:00
4.24;4.20;5327.06;04.06.2025;13:53:01
4.27;4.23;5384.76;04.06.2025;13:53:02
4.31;4.26;5363.03;04.06.2025;13:53:03
4.30;4.29;4997.28;04.06.2025;13:53:04
4.31;4.31;5393.65;04.06.2025;13:53:05
4.34;4.34;5138.15;04.06.2025;13:53:06
4.34;4.36;5265.27;04.06.2025;13:53:07
4.42;4.41;5352.14;04.06.2025;13:53:08
4.39;4.43;5191.75;04.06.2025;13:53:09
4.44;4.46;5211.20;04.06.2025;13:53:10
4.46;4.49;5303.01;04.06.2025;13:53:11
4.51;4.45;5302.90;04.06.2025;13:53:12
4.48;4.54;5421.13;04.06.2025;13:53:13
4.52;4.53;5052.85;04.06.2025;13:53:14
4.58;4.54;5164.96;04.06.2025;13:53:15
4.61;4.61;5381.33;04.06.2025;13:53:16
4.59;4.61;5290.09;04.06.2025;13:53:17
4.68;4.63;5357.62;04.06.2025;13:53:18
4.68;4.66;5125.92;04.06.2025;13:53:19
4.73;4.70;5325.69;04.06.2025;13:53:20
4.75;4.79;5257.68;04.06.2025;13:53:21
4.79;4.77;5194.09;04.06.2025;13:53:22
4.80;4.76;5204.53;04.06.2025;13:53:23
4.83;4.77;5130.50;04.06.2025;13:53:24
4.84;4.83;5255.91;04.06.2025;13:53:25
4.86;4.92;5349.54;04.06.2025;13:53:26
4.85;4.87;5342.74;04.06.2025;13:53:27
4.86;4.89;5395.53;04.06.2025;13:53:28
4.92;4.96;5183.42;04.06.2025;13:53:29
4.91;4.94;5064.94;04.06.2025;13:53:30
5.01;4.94;5083.31;04.06.2025;13:53:31
5.02;4.99;5174.21;04.06.2025;13:53:32
5.05;5.01;5167.50;04.06.2025;13:53:33
5.05;5.06;5446.76;04.06.2025;13:53:34
5.06;5.06;5220.56;04.06.2025;13:53:35
5.11;5.09;5204.82;04.06.2025;13:53:36
5.16;5.11;5196.84;04.06.2025;13:53:37
5.14;5.13;5203.91;04.06.2025;13:53:38
5.17;5.13;4947.31;04.06.2025;13:53:39
5.18;5.14;5199.49;04.06.2025;13:53:40
5.25;5.21;5223.42;04.06.2025;13:53:41
5.29;5.26;5113.81;04.06.2025;13:53:42
5.26;5.27;5206.71;04.06.2025;13:53:43
5.28;5.32;5236.24;04.06.2025;13:53:44
5.30;5.30;5244.93;04.06.2025;13:53:45
5.30;5.32;5393.45;04.06.2025;13:53:46
5.37;5.38;5291.60;04.06.2025;13:53:47
5.45;5.37;5171.44;04.06.2025;13:53:48
5.46;5.46;5283.59;04.06.2025;13:53:49
5.45;5.44;5309.86;04.06.2025;13:53:50
5.47;5.52;5252.19;04.06.2025;13:53:51
5.51;5.50;5172.96;04.06.2025;13:53:52
5.55;5.50;5523.27;04.06.2025;13:53:53
5.55;5.57;5399.27;04.06.2025;13:53:54
5.54;5.60;5359.48;04.06.2025;13:53:55
5.65;5.63;5156.52;04.06.2025;13:53:56
5.62;5.68;5374.96;04.06.2025;13:53:57
5.68;5.62;5105.41;04.06.2025;13:53:58
5.66;5.71;5212.84;04.06.2025;13:53:59
5.69;5.68;5270.75;04.06.2025;13:54:00
5.76;5.71;5133.59;04.06.2025;13:54:01
5.80;5.75;5085.78;04.06.2025;13:54:02
5.79;5.81;5261.46;04.06.2025;13:54:03
5.84;5.77;5122.12;04.06.2025;13:54:04
5.82;5.79;5256.00;04.06.2025;13:54:05
5.80;5.79;5326.04;04.06.2025;13:54:06
5.92;5.90;5347.21;04.06.2025;13:54:07
5.94;5.94;5267.86;04.06.2025;13:54:08
5.95;5.92;5104.69;04.06.2025;13:54:09
5.93;5.98;5181.12;04.06.2025;13:54:10
6.00;5.99;5070.62;04.06.2025;13:54:11
6.00;6.02;5128.18;04.06.2025;13:54:12
5.99;6.02;5222.52;04.06.2025;13:54:13
6.07;6.06;5288.89;04.06.2025;13:54:14
6.09;6.03;5244.30;04.06.2025;13:54:15
6.13;6.08;5104.28;04.06.2025;13:54:16
6.13;6.11;5340.26;04.06.2025;13:54:17
6.18;6.14;5174.15;04.06.2025;13:54:18
6.12;6.16;5212.35;04.06.2025;13:54:19
6.16;6.23;5395.46;04.06.2025;13:54:20
6.28;6.21;5315.32;04.06.2025;13:54:21
6.23;6.24;5183.85;04.06.2025;13:54:22
6.25;6.29;5239.87;04.06.2025;13:54:23
6.31;6.26;5256.68;04.06.2025;13:54:24
6.39;6.32;5252.54;04.06.2025;13:54:25
6.31;6.29;5314.37;04.06.2025;13:54:26
6.35;6.37;5221.92;04.06.2025;13:54:27
6.35;6.41;5271.27;04.06.2025;13:54:28
6.40;6.48;5117.37;04.06.2025;13:54:29
6.47;6.43;5269.78;04.06.2025;13:54:30
6.51;6.51;5280.66;04.06.2025;13:54:31
6.47;6.49;5110.35;04.06.2025;13:54:32
6.54;6.51;5164.40;04.06.2025;13:54:33
6.51;6.52;5268.62;04.06.2025;13:54:34
6.53;6.60;5148.26;04.06.2025;13:54:35
6.66;6.58;5200.91;04.06.2025;13:54:36
6.58;6.61;5306.03;04.06.2025;13:54:37
6.67;6.63;5096.07;04.06.2025;13:54:38
6.65;6.62;5328.89;04.06.2025;13:54:39
6.75;6.68;5122.74;04.06.2025;13:54:40
6.71;6.71;5312.25;04.06.2025;13:54:41
6.73;6.75;5201.72;04.06.2025;13:54:42
6.77;6.79;5160.79;04.06.2025;13:54:43
6.84;6.78;5248.28;04.06.2025;13:54:44
6.78;6.80;5314.24;04.06.2025;13:54:45
6.84;6.84;5280.24;04.06.2025;13:54:46
6.84;6.90;5134.91;04.06.2025;13:54:47
6.88;6.86;5113.17;04.06.2025;13:54:48
6.86;6.91;5349.49;04.06.2025;13:54:49
6.96;6.95;5190.86;04.06.2025;13:54:50
7.01;6.99;5063.40;04.06.2025;13:54:51
6.99;7.03;5418.36;04.06.2025;13:54:52
7.08;6.97;5336.08;04.06.2025;13:54:53
7.03;7.06;5081.11;04.06.2025;13:54:54
7.07;7.12;5348.05;04.06.2025;13:54:55
7.08;7.13;5423.06;04.06.2025;13:54:56
7.07;7.11;5256.44;04.06.2025;13:54:57
7.08;7.17;5297.22;04.06.2025;13:54:58
7.19;7.20;5200.28;04.06.2025;13:54:59
7.23;7.22;5327.50;04.06.2025;13:55:00
7.27;7.25;5335.43;04.06.2025;13:55:01
7.20;7.24;5361.09;04.06.2025;13:55:02
7.21;7.29;5333.03;04.06.2025;13:55:03
7.25;7.31;5428.63;04.06.2025;13:55:04
7.25;7.26;5291.60;04.06.2025;13:55:05
7.37;7.36;5117.01;04.06.2025;13:55:06
7.34;7.37;5435.91;04.06.2025;13:55:07
7.40;7.40;5324.41;04.06.2025;13:55:08
7.42;7.38;5315.34;04.06.2025;13:55:09
7.44;7.39;5358.29;04.06.2025;13:55:10
7.51;7.48;5354.33;04.06.2025;13:55:11
7.48;7.46;5276.28;04.06.2025;13:55:12
7.48;7.54;5369.53;04.06.2025;13:55:13
7.49;7.53;5225.58;04.06.2025;13:55:14
7.59;7.57;5343.04;04.06.2025;13:55:15
7.58;7.57;5311.77;04.06.2025;13:55:16
7.58;7.65;5269.59;04.06.2025;13:55:17
7.59;7.64;5054.04;04.06.2025;13:55:18
7.70;7.66;5111.83;04.06.2025;13:55:19
7.72;7.71;5298.05;04.06.2025;13:55:20
7.76;7.74;5122.47;04.06.2025;13:55:21
7.78;7.73;5249.98;04.06.2025;13:55:22
7.73;7.74;5310.48;04.06.2025;13:55:23
7.87;7.80;5326.48;04.06.2025;13:55:24
7.78;7.84;5141.14;04.06.2025;13:55:25
7.81;7.86;5237.38;04.06.2025;13:55:26
7.86;7.85;5194.45;04.06.2025;13:55:27
7.83;7.91;5182.67;04.06.2025;13:55:28
7.93;7.95;5309.96;04.06.2025;13:55:29
7.97;7.95;5544.04;04.06.2025;13:55:30
8.03;7.99;4997.72;04.06.2025;13:55:31
8.07;7.98;5307.09;04.06.2025;13:55:32
7.98;8.06;5155.08;04.06.2025;13:55:33
8.08;8.05;5222.55;04.06.2025;13:55:34
8.10;8.09;5085.75;04.06.2025;13:55:35
8.05;8.09;5137.98;04.06.2025;13:55:36
8.15;8.11;5302.14;04.06.2025;13:55:37
8.13;8.17;5163.83;04.06.2025;13:55:38
8.10;8.22;5227.13;04.06.2025;13:55:39
8.24;8.23;5261.57;04.06.2025;13:55:40
8.27;8.23;5118.42;04.06.2025;13:55:41
8.22;8.26;5197.19;04.06.2025;13:55:42
8.30;8.26;5113.56;04.06.2025;13:55:43
8.30;8.31;5217.78;04.06.2025;13:55:44
8.41;8.29;5015.51;04.06.2025;13:55:45
8.32;8.34;5271.44;04.06.2025;13:55:46
8.38;8.37;5181.84;04.06.2025;13:55:47
8.42;8.39;5222.90;04.06.2025;13:55:48
8.51;8.41;5229.54;04.06.2025;13:55:49
8.51;8.45;5314.99;04.06.2025;13:55:50
8.45;8.45;5239.81;04.06.2025;13:55:51
8.45;8.46;5388.05;04.06.2025;13:55:52
8.45;8.51;5161.56;04.06.2025;13:55:53
8.58;8.56;5294.15;04.06.2025;13:55:54
8.64;8.57;5224.90;04.06.2025;13:55:55
8.57;8.60;5142.82;04.06.2025;13:55:56
8.68;8.64;4956.47;04.06.2025;13:55:57
8.62;8.61;5264.12;04.06.2025;13:55:58
8.59;8.66;5294.60;04.06.2025;13:55:59
8.73;8.71;5162.09;04.06.2025;13:56:00
8.72;8.69;5066.07;04.06.2025;13:56:01
8.77;8.75;5180.44;04.06.2025;13:56:02
8.86;8.77;5060.19;04.06.2025;13:56:03
8.82;8.84;5074.38;04.06.2025;13:56:04
8.86;8.84;5314.91;04.06.2025;13:56:05
8.90;8.82;5291.98;04.06.2025;13:56:06
8.92;8.85;5129.92;04.06.2025;13:56:07
8.89;8.91;5228.62;04.06.2025;13:56:08
9.00;8.91;5383.30;04.06.2025;13:56:09
8.91;8.92;5341.92;04.06.2025;13:56:10
8.91;8.99;5215.03;04.06.2025;13:56:11
8.99;8.97;5274.47;04.06.2025;13:56:12
9.03;8.97;5248.70;04.06.2025;13:56:13
9.12;9.05;5173.74;04.06.2025;13:56:14
9.10;9.03;5114.79;04.06.2025;13:56:15
9.16;9.08;5520.09;04.06.2025;13:56:16
9.14;9.11;5134.18;04.06.2025;13:56:17
9.11;9.15;5163.57;04.06.2025;13:56:18
9.09;9.16;5374.68;04.06.2025;13:56:19
9.20;9.22;5226.61;04.06.2025;13:56:20
9.32;9.23;5179.49;04.06.2025;13:56:21
9.32;9.28;5375.43;04.06.2025;13:56:22
9.35;9.26;5059.61;04.06.2025;13:56:23
9.28;9.31;5161.35;04.06.2025;13:56:24
9.26;9.35;5292.52;04.06.2025;13:56:25
9.31;9.31;5208.83;04.06.2025;13:56:26
9.31;9.37;5414.40;04.06.2025;13:56:27
9.36;9.37;5038.55;04.06.2025;13:56:28
9.38;9.43;5400.47;04.06.2025;13:56:29
9.38;9.44;5275.44;04.06.2025;13:56:30
9.47;9.47;5237.78;04.06.2025;13:56:31
9.44;9.48;5311.79;04.06.2025;13:56:32
9.54;9.53;5086.80;04.06.2025;13:56:33
9.64;9.55;5397.33;04.06.2025;13:56:34
9.66;9.55;5326.24;04.06.2025;13:56:35
9.65;9.61;5180.22;04.06.2025;13:56:36
9.56;9.66;5017.69;04.06.2025;13:56:37
9.70;9.69;5211.00;04.06.2025;13:56:38
9.73;9.69;5228.94;04.06.2025;13:56:39
9.77;9.73;5300.19;04.06.2025;13:56:40
9.72;9.69;5186.32;04.06.2025;13:56:41
9.76;9.71;5129.12;04.06.2025;13:56:42
9.75;9.75;5032.05;04.06.2025;13:56:43
9.73;9.82;5317.43;04.06.2025;13:56:44
9.78;9.83;5185.90;04.06.2025;13:56:45
9.88;9.89;5240.31;04.06.2025;13:56:46
9.96;9.85;5114.93;04.06.2025;13:56:47
9.87;9.90;5229.41;04.06.2025;13:56:48
9.97;9.91;5179.78;04.06.2025;13:56:49
10.04;9.93;5096.92;04.06.2025;13:56:50
9.90;9.97;5224.71;04.06.2025;13:56:51
10.08;10.03;5034.60;04.06.2025;13:56:52
9.97;9.99;0.00;04.06.2025;13:56:53
9.96;10.03;0.00;04.06.2025;13:56:54
9.93;9.98;0.00;04.06.2025;13:56:55
9.97;10.01;0.00;04.06.2025;13:56:56
9.91;9.99;0.00;04.06.2025;13:56:57
10.02;10.00;0.00;04.06.2025;13:56:58
9.98;10.00;0.00;04.06.2025;13:56:59
9.95;9.96;0.00;04.06.2025;13:57:00
9.92;9.98;0.00;04.06.2025;13:57:01
9.92;9.96;0.00;04.06.2025;13:57:02
9.95;9.97;0.00;04.06.2025;13:57:03
10.09;9.97;0.00;04.06.2025;13:57:04
10.07;10.02;0.00;04.06.2025;13:57:05
9.90;10.00;0.00;04.06.2025;13:57:06
10.09;9.97;0.00;04.06.2025;13:57:07
9.91;10.01;0.00;04.06.2025;13:57:08
10.07;10.02;0.00;04.06.2025;13:57:09
10.00;9.98;0.00;04.06.2025;13:57:10
10.08;10.02;0.00;04.06.2025;13:57:11
9.97;10.01;0.00;04.06.2025;13:57:12
9.90;10.00;0.00;04.06.2025;13:57:13
9.99;10.00;0.00;04.06.2025;13:57:14
10.10;10.02;0.00;04.06.2025;13:57:15
9.92;9.99;0.00;04.06.2025;13:57:16
10.01;9.98;0.00;04.06.2025;13:57:17
10.07;10.00;0.00;04.06.2025;13:57:18
9.92;10.01;0.00;04.06.2025;13:57:19
10.06;10.02;0.00;04.06.2025;13:57:20
10.02;10.01;0.00;04.06.2025;13:57:21
10.01;10.00;0.00;04.06.2025;13:57:22
9.98;10.00;0.00;04.06.2025;13:57:23
9.97;9.99;0.00;04.06.2025;13:57:24
10.05;9.99;0.00;04.06.2025;13:57:25
10.09;9.96;0.00;04.06.2025;13:57:26
10.02;10.02;0.00;04.06.2025;13:57:27
9.92;10.00;0.00;04.06.2025;13:57:28
10.09;10.04;0.00;04.06.2025;13:57:29
10.02;9.94;0.00;04.06.2025;13:57:30
9.96;9.99;0.00;04.06.2025;13:57:31
10.02;9.98;0.00;04.06.2025;13:57:32
9.94;9.97;0.00;04.06.2025;13:57:33
9.91;10.04;0.00;04.06.2025;13:57:34
10.09;10.02;0.00;04.06.2025;13:57:35
9.96;10.02;0.00;04.06.2025;13:57:36
10.02;9.99;0.00;04.06.2025;13:57:37
9.92;9.99;0.00;04.06.2025;13:57:38
9.95;10.03;0.00;04.06.2025;13:57:39
10.09;9.98;0.00;04.06.2025;13:57:40
10.00;10.02;0.00;04.06.2025;13:57:41
10.04;9.99;0.00;04.06.2025;13:57:42
10.01;9.97;0.00;04.06.2025;13:57:43
10.08;9.99;0.00;04.06.2025;13:57:44
9.97;9.99;0.00;04.06.2025;13:57:45
10.01;10.02;0.00;04.06.2025;13:57:46
10.02;9.98;0.00;04.06.2025;13:57:47
9.99;9.99;0.00;04.06.2025;13:57:48
9.97;9.99;0.00;04.06.2025;13:57:49
9.98;10.03;0.00;04.06.2025;13:57:50
10.07;10.01;0.00;04.06.2025;13:57:51
10.00;10.03;0.00;04.06.2025;13:57:52
9.86;9.95;0.00;04.06.2025;13:57:53
9.91;9.85;0.00;04.06.2025;13:57:54
9.71;9.76;0.00;04.06.2025;13:57:55
9.69;9.66;0.00;04.06.2025;13:57:56
9.56;9.59;0.00;04.06.2025;13:57:57
9.44;9.49;0.00;04.06.2025;13:57:58
9.45;9.42;0.00;04.06.2025;13:57:59
9.40;9.27;0.00;04.06.2025;13:58:00
9.26;9.27;0.00;04.06.2025;13:58:01
9.17;9.15;0.00;04.06.2025;13:58:02
9.07;9.06;0.00;04.06.2025;13:58:03
8.94;9.02;0.00;04.06.2025;13:58:04
8.93;8.88;0.00;04.06.2025;13:58:05
8.81;8.88;0.00;04.06.2025;13:58:06
8.76;8.72;0.00;04.06.2025;13:58:07
8.74;8.69;0.00;04.06.2025;13:58:08
8.55;8.55;0.00;04.06.2025;13:58:09
8.42;8.50;0.00;04.06.2025;13:58:10
8.48;8.42;0.00;04.06.2025;13:58:11
8.31;8.29;0.00;04.06.2025;13:58:12
8.32;8.23;0.00;04.06.2025;13:58:13
8.19;8.13;0.00;04.06.2025;13:58:14
8.08;8.05;0.00;04.06.2025;13:58:15
7.92;7.96;0.00;04.06.2025;13:58:16
7.89;7.92;0.00;04.06.2025;13:58:17
7.90;7.78;0.00;04.06.2025;13:58:18
7.67;7.70;0.00;04.06.2025;13:58:19
7.65;7.66;0.00;04.06.2025;13:58:20
7.53;7.55;0.00;04.06.2025;13:58:21
7.44;7.51;0.00;04.06.2025;13:58:22
7.37;7.39;0.00;04.06.2025;13:58:23
7.28;7.36;0.00;04.06.2025;13:58:24
7.27;7.27;0.00;04.06.2025;13:58:25
7.21;7.18;0.00;04.06.2025;13:58:26
7.09;7.09;0.00;04.06.2025;13:58:27
7.07;7.07;0.00;04.06.2025;13:58:28
6.90;6.89;0.00;04.06.2025;13:58:29
6.85;6.83;0.00;04.06.2025;13:58:30
6.79;6.78;0.00;04.06.2025;13:58:31
6.72;6.69;0.00;04.06.2025;13:58:32
6.54;6.61;0.00;04.06.2025;13:58:33
6.48;6.49;0.00;04.06.2025;13:58:34
6.38;6.42;0.00;04.06.2025;13:58:35
6.35;6.34;0.00;04.06.2025;13:58:36
6.22;6.29;0.00;04.06.2025;13:58:37
6.22;6.16;0.00;04.06.2025;13:58:38
6.13;6.10;0.00;04.06.2025;13:58:39
5.94;6.01;0.00;04.06.2025;13:58:40
5.94;5.92;0.00;04.06.2025;13:58:41
5.83;5.81;0.00;04.06.2025;13:58:42
5.77;5.72;0.00;04.06.2025;13:58:43
5.64;5.63;0.00;04.06.2025;13:58:44
5.62;5.60;0.00;04.06.2025;13:58:45
5.52;5.53;0.00;04.06.2025;13:58:46
5.42;5.45;0.00;04.06.2025;13:58:47
5.33;5.35;0.00;04.06.2025;13:58:48
5.25;5.23;0.00;04.06.2025;13:58:49
5.14;5.19;0.00;04.06.2025;13:58:50
5.13;5.08;0.00;04.06.2025;13:58:51
4.95;5.03;0.00;04.06.2025;13:58:52
4.96;4.92;0.00;04.06.2025;13:58:53
4.87;4.84;0.00;04.06.2025;13:58:54
4.76;4.77;0.00;04.06.2025;13:58:55
4.65;4.73;0.00;04.06.2025;13:58:56
4.58;4.60;0.00;04.06.2025;13:58:57
4.47;4.50;0.00;04.06.2025;13:58:58
4.44;4.40;0.00;04.06.2025;13:58:59
4.31;4.35;0.00;04.06.2025;13:59:00
4.22;4.19;0.00;04.06.2025;13:59:01
4.14;4.18;0.00;04.06.2025;13:59:02
4.04;4.07;0.00;04.06.2025;13:59:03
3.97;4.02;0.00;04.06.2025;13:59:04
3.89;3.91;0.00;04.06.2025;13:59:05
3.83;3.82;0.00;04.06.2025;13:59:06
3.72;3.75;0.00;04.06.2025;13:59:07
3.65;3.71;0.00;04.06.2025;13:59:08
3.60;3.54;0.00;04.06.2025;13:59:09
3.48;3.50;0.00;04.06.2025;13:59:10
3.43;3.42;0.00;04.06.2025;13:59:11
3.31;3.34;0.00;04.06.2025;13:59:12
3.26;3.24;0.00;04.06.2025;13:59:13
